chunk_num,chunk_str,doc_id
0,are v xe oher tzih varal quiche vbi varal xchicatzibah vi xchicatiquiba vi oher tzih vticaribal vxenabal puch ronohel xban pa tinamit quiche ramac quiche vinac arecut xchicacam vi vcutunizaxic vcalahobizaxic vtzihoxic puch euaxibal zaquiribal rumal tzacol bitol alom qaholom quibi hun ahpu vuch hun ahpu vtiu zaquinimac tziz tepeu qucumatz vqux cho vqux palo ah raxalaq' ah raxatzel chu qhaxic rachbixic rachtzihoxic ri iyom mamom xpiyacoc xmucane vbi matzanel chuquenel camul yiom camul mamom chuqhaxic pa quiche tzih ta xquitzihoh ronohel ruq xquiban chic chizaquil qolem zaquil tzih vae xchicatzibah chupan chic vqhabal dios pa christianoil chic xchiquelezah rumal mahabi chic ilbal re popo vvh ilbal zac petenac chaca palo vtzihoxic camuhibal ilbal zacqazlem chuqhaxic qo nabe vuhil oher tzibam puch xa eval vvach ilol re bizol re nim vpeoxic vtzihoxic puch ta chiquiz tzuk ronohel cah vleu vcah tzucuxic vcah xucutaxic retaxic vcah cheexic vmeh camaxic vyuccamaxic vpa cah vpa vleu cah tzuc cah xu cut chuqhaxic rumal ri tzacol bitol vchuch vcahau qazlem vinaquirem abanel quxlanel alay rech quxlaay rech zaquil amaquil zaquil al zaquil qahol ahbiz ahnaoh chirech ronohel ato qol vi cah vleu cho palo are v tzihoxic vae cacatzinin oc caca chamam oc catzinonic cacazilanic caca lolinic catolona puch v pa cah vae cute nabe tzih nabe vchan mahabi oq' hun vinac hun chicop tziquin car tap che abah hul zivan quim quichelah xa v tu quel cah qolic maui calah v vach vleu xa vtuquel remanic palo vpacah ronohel mahabi na quila camolobic cacotzobic hun ta cazilobic camal cabantah ca cotz cabantah pa cah xma qo vinaquila qolic yacalic xa remanic ha xa lianic palo xa vtuquel remanic xma qo vi na quilalo qolic xa cachamanic catzininic chi queq'um chi aq'ab xa vtuquel ri tzacol bitol tepeu gucumatz e alom e qaholom qo pa ha zactetoh e qovi e mucutal pa cuc pa raxon are vbinaam viri gucumatz e nimac etamanel e nimac ahnaoh chiqui qoheic quehe cut xax qo vi ri cah qonaipuch vqux cah are vbi ri cabauil chuqhaxic ta xpe cut vtzih varal xul cuq ri tepeu gucumatz varal chi quecumal chi aq'abal xqhau ruq ri tepeu gucumatz xe qha cut ta xenaohinic ta xe bizonic xerico quib xquicuch qui tzih qui naoh ta xcalah ta xquiquxlaah quib zac taxevi xcalah puch vinac ta xquinaohih v tzuquic v vinaquiric che caam v tzucuquic puch qazlem vinaquirem chi queq'umal chi aq'abal rumal ri vqux cah huracan vbi caculha huracan nabe vcab cut chipa caculha roxchic raxa caculha chi e cu oxib ri vqux cah ta xeul cuq ri tepeu gucumatz ta xnaohixic zac qazlem,1 2 3 4 5
1,hupacha ta cha uaxoc ta caquiro puch apachinac tzucul cool ta chuxoc quixnohintah areri ha chel tah chihamatah chivinaquir va vleu vlaquel ta curib chata cut ta chauaxoc ta zaquiroc cah vleu ma ta cut v quihilabal vcalaibal ri catzac cabit ta vinaquiroc vinac tzac vinac bit xeqha cut ta xvinaquir cu ri vleu cumal xaquitzih xqohe vi v vinaquiric chivinaquir vleu vleuh xecha libah chi xvinaquiric queheri xa tzutz xa mayui v vinaquiric chic u pupuheic ta xtape pa ha ri huiub huzuc nimac huyub xuxic xaqui naual xa qui puz xbanatah vi vnaohixic huyub tacah huzuc rach vinaquiric v quizizil v pachahil v vach quehe cut xquicot vi ri qucumatz vtz mi xatulic at vqux cah at huracan at pu chipicaculha raxa caculha xchutzinic catzac cabit xeqha cut nabe cut xvinaquir vleuh huyub tacah xchobochox vbe ha xbiniheic colehe racan xol tac huyub xa chobol chic xeqohe vi ha ta xcutuniheic nimac huyub quehe cut v vinaquiric vlew ri ta xvinaquiric cumal ri vqu x cah vqux vleu quevchaxic ri cute nabe xquinohih xcolo vi ri cah xcolo nai puch vleuh chupan ha quehe cut vnaohixic ri ta xquinohih ta xquibizoh rutzinic vbana tahic cumal ta xquinohih chic vchicopil huyub chahal re quichelah ronohel vvinaquil huyub ri quieh tziquin qoh balam cumatz zochoh canti chahal caam cacha ri alom qaholom xa pa chilolinic maxa on chitzininic vxeche caam cate vtz chiqohe chahal re xeqha cut ta xquinohih xqhitzihoh puch huzu cu xvinaquir queh tziquin ta zquizipah cut rochoch queh tziquin at queh pa beyaa pa zivan catvar vi varal cat qohe vi pa quim pa zacul pa quechelah quipoco vi ivib cahcah ibinibal ychacabal chuxic xevqhaxic ta xquichic cut cochoch chuti tziquin nima tziquin ixix tziquin chuvi che chuvi caam quixochochin vi quixhain vi chiri quixpoc vi quixquiritah vi chu eab che chueab caam xevqhaxic quieh tziquin taxquibano quibanoh ronohel xucamo v varabal v yacalibal quehe cut cochoch vi chicop ri vleu xuyao alom qaholom xutzininaca chic ronohel ri queh tziquin ta xevqhax chicut ri queh tziquin rumal tzacol bitol alom qaholom quixqhauoc quixziquinoc mi xyonoliquinic mixziquinic quixqha va he tah chi huhunal chu hutac chobil chi hutac molahil xevqhaxic ri queh tziquin qoh balam cumatz chibihnacut ri ca bi cohicaharizah oh ichuch oh icahau quiqha va na cut huracan chipi caculha raxa caculha vqux cah vquxvleuh tzacol bitol alom qahol quixqhaoc cohiziquih cohiquihila xevqhaxic macu xutzinic xeqhauic queheta ri vinac xa quevachelahic xa quecaralahic xa quevohonic mavi xvachinic v vach qui qhabal halahoh xcoquibeh chi qui huhunal ta xqui ta ri tzacol bitol maui mi xutzinic mi xeqhauic xeqha,5 6 7
2,chic qui bil quib maui mixutzin v bixic cabi rumal oh cah tzac oh pu cah bit mavi vtz xqha chic chiquibil quib ri alom qaholom xevqhax cut xa quixhalatahic rumal maui mi xutzinic maui mi xixqhavic mi cu xcahal catzih ivecha i cuxun ivarabal i iacalibal xivech vi mixeuxic zivan quechelah rumal mavi xutzin caquihiloxic mavi ix ziqui que ca qo couilo quihilonel nimanel chi caban chic xa chicam i patan y xa i tiohil chica chic ta chuxoc are cut chipatanih xevqhaxic ta xe pixabaxic chuti chicop nima chicop qo chuvach vleu ta xrah cu quitih chic qui quih xrah quitihtobeh chic xrah pu quinuc chic quihilabal xma xquita vi qui qhabal chiquibil quib xma xnauachir vi cut xma xbanatahvi puch quehe cut xechacatah vi quitiohil xquipatanih xe tic xecamizaxic ri chicop qo varal chuvach vleuh que he cut v tihtobexic chic vinac tzac vinac bit cumal tzacol bitol alom qaholom xa ca tiha chic mi xyopih ravaxic v zaquiric cabana tzucul que cool que hupacha ta coh ziquixoc ta cohnabax puch chuvach vleuh mi xcatiho chirech rinabe ca tzac ca bit maui mi xutzinic ca quihiloxic ca calaixic puch cumal quehe cut catiha vi vbanic ah nim ah xob tzucul cool xeqha ta vtzaquic cut vbanic puch vlev xocol vtiohil xquibano ma cu vtz xquilo xa chiyohomanic xa tzubulic xa nebelic xa lubanic xa vulanic xa pu chivmaric maui chicolol vhol xa hum benac vi vvach xaculuvach maui chimucun chirih chichau nabec mahabi vnaoh xa huzuc chiumar paha maui qo xeqha chicuri ah tzac ah bit cauach labec ta chuxoc xa labe maui chibinic ma pu chipocotahic ta chuxoc xavnaoh chiri xecha ta xquiyoh cut xquiyoc chic riqui tzac quibit xeqha chicut hupacha quiqa chicabano chutzin ta vi chinauachir ta vi quihiloy quech ziqui quech xecha ta xquinaohih chic xa cabih chique xpiyacoc xmucane hun ahpu vuch hun ahpu vtiu quitiha chic vquihixic vbitaxic xevqhan qui quib ah tzac ah bit ta xquibih cut chire xpiyacoc xmucane cate cut vbixic ri chiquech ri enic vachinel ratit quih ratit zac que vqhaxic cumal ri tzacol bitol are qui bi ri xpiyacoc xmucane xeqha qu ri huracan ruq tepeu gucumatz ta xquibih chirech ahquih ah bit enic vachinel xuculu xa pu churico cheta chic chi cauinac bitoh chica vinac tzacoh ta chic tzucul cool coh ziquixtah cohnabaxtah puch catoc ta cut pa tzih iyom mamom catit camam xpiyacoc xmuca ne chatah ta chavaxoc ta zaquiroc ca ziquixic ca toquexic ca nabaxic rumal vinac tzac vinac bit vinac poy vinac anom cha ta chuxoc chicutun ibi hunahpu vuch hunahpu vtiu camul alom,7 8
3,camul qaholom nimac nima tziz ah cuval ah yamanic ah chut ahtzalam ah raxalac ah raxazel ah eol ah toltecat ratit quih ra titzac quixvqhaxic rumal catzac cabit chimala chi ixim chi tzite xa chibanatahic xa pu chel apan oc chicahah chicacotah puch vchi vvach che xevqhaxic e ah t quih cate puch vcahic v quihiloxic ri xmalic chi ixim chitzite quih bit xeqha quri hunatit hunmama chiquech are ri mama are ah tzite xpiyacoc vbi arecu riatit ahquih ahbit chi racan xmucane vbi xeqha cut ta x quitiquiba quih xa chuculu xa pu chu rico chabih cata caxiquin caqhauic catzihontah xa chuculu ri che chahavaxic chicotox puch cumal ahtzac ahbit ve are tzucul cool ta chavax oc tazaquiroc at ixim at tzite at quih at bit catchoconic cattaquentah xqha chire ixim qite quih bit cat quixla vloc at vqux cah macahizah vchi vvach tepeu gucumatz xeqha ta xquibih cut v zuculiquil vtz are chuxic ri i poy aham che chiqhauic chitzihon bala chuvach vleu ta chuxoc xeqha cut ta xquibih huzuc xbanic poy aham che xe vinac vachinic xe vinac tzihonic puch are vina quil vvach vleu xevxic xe poquic xemealanic xeqaholonic ri poy aham che macu habi qui qux ma pu habi quinaoh maui natal cah tzac cah bit xaloc xebinic xechacanic maui xquinatah chic ri vqux cah quehe cut xepah chivi xa vtihtobexic xa pu v va babexic chi vinac queqhau nabec xa chaquih qui vach mana zonol cacan quieab mahabi qui quiquel qui comahil ma habi qui ticoual qui cabchial cha quih cotz qoh qui vach ca pichipoh cacan quicab caie ioh quitiohil quehe cut maui xenau chivi chuvach tzacol bitol alai quech quxlaai quech enabe tzatz chivinac xevxic varal chuvach vleu catecut qui quizic chic qui mayxic qui cutuxic puch xe camizax chic poy aham che ta xnohix quibutic rumal vqux cah nima butic xbanic xpe pa quivi ri e poy e aham che qite vtiohil ri achih ta xahaxic rumal tzacol bitol ixoc zibac cut vtiohil ixoc xrah oquic rumal tzacol bitol maui xenauic ma pu xeqhauic chu vach cah tzac cah bit banol que vinaquirizay quech quehe cut qui ca mizaxic xebutic xpe nima eol chila chicah xe cotcovach vbi xcotin vloc vbac qui vach xepe camalotz xcupin vla quiholom xpe cotzbalam xtio quitiohil xpe tucumbalam xtucuuic xquichouic quibaquil quibochil xcahixic xmuchulixic qui baquil cahizabal qui vach ru mal maui quinauic chuvach qui chuch chuvach puch qui cahau ri vqux cah huracan vbi cumal xquecumaric v vach vleu xticaric quecal hab quihil hab acabal hab xoc vla chuti chicop nima chicop xcut qui vach rumal,8 9
4,che abah xqhauic ronohel qui quebalquixot qui lac qui boh qui tzi quikaa haruh pala ronohel xcutu qui vach cax xiban chique xohitio ixchi cut xquixcati chic xqhari qui tzi cac chiquech re cu ri q'aa xohcoconic iuumal hu ta quih hu ta quih xquec zaquiric amaquel holi holi huqui huqui ca vach ivumal are ta nabe capatan chivach ixtana vinac vacamic cut xchitih ca chucab xchicaqueeh xchicahoc puch i tiohil xqhari qui q'aa chique are curi qui tzi xqha chic ta xqhauic na qui pa rumal maui chiya cava xa cohmucunic xa pu cohicuxih vloc coh izac pu vloc yacal vbi ca cheel ivumal ta quixvaic xere cohivuchaah vi maui cohqhauic mata cu mi xohcamic chiue hu pa cha maui mi xixnauic xixnau ta cut chiuih ta cut xohzach vi vacamic cut xchitih cabac qo pa ca chi xquixcatio xeqha ri tzi chique ta xcut qui vach are chicuri qui xot qui boh xchau chic chique cax va xi ban chique xac ca chi xacca vach amaquel oh tzacal chuuicac cohicato maui cax xcanao xchitih cut xquix caporoh xcha ri qui boh ronohel xcutu qui vach areri abah ri quixcub chitaninic chipe paq'aq' taeal chi quiholom cax xban chique anilabic que mal malihab chic querah acanic chuvi ha xa chiu vlih ha quetzac vloc querah acan chuvi che queqhaquix vloc ruma che querah oc pahul xa chiyuch hul chi qui vach que he cut vcayohic vinac tzac vinac bit etzixel e tzalatzoxel chi vinac xmayxic xcutuxic quichi qui vach conohel xqha cut are retal ri qoy qo pa quechelah vacamic are xqohe vi retal rumal xache quitiohil xcohic rumal ahtzac ahbit arecuri qoy queheri vinac chivachinic retal hule vinac tzac vinac bit xapoy xapu ahamche are cut xa hubic zac na tanoh vvachvleu mahabi quih hun cut cunimarizah rib vvcub caquix vbi qo nabe cah vleu xa ca moymot v vach quih ic caqha curi xaui xere vzaquetal vinac ri xbutic queheri naual vinac vqoheic in nim quiqohe chic chuvi vinac tzac vinac bit in vquih in pu vzac in naipu riquil ta chuxoc nim nu zaquil in binibal in pu chacabal rumal vinac rumal puvac vbac nuvach xa catiltotic chi yamanic raxa cuval naypu ve raxcauacoh chi abah queheri v va cah are curi nu tzam zachuluhuh chinah queheri ic puvac cut nu calibal cazac paque vvach vleu ta quinel vloc chuvach nu calibal quehe cut in quih vi in pu ic rumal zaquil al zaquil qahol ta chuxoc rumal chinah copon vi nu vach qhari vucub caquix macu quitzih are ta quih ri vcub caquix xere cunimarizah rib rivxic,9 10
5,vpuvac xere cut tocol vi v vach ri chicube vi mana ronohelta vxecah copon vi vvach maha cut qui quiloc v vach quih ic chumil mahaoc cazaquiroc quehe cut cucobizah vi rib ri vucub caquix chiquihil chi iquil xa maha chicatunoc chicalahoboc vzaquil quih ic xa xuraih nimal icouen are ta xbanic butic cumal poy aham che quehe cut xchicabih chic ta xcamic vucub caquix ta xchacatahic ta xbanatahic vinac rumal ahtzac ahbit vae vxe vchacatahic v yicoxic chi puch v quih vucub ca quix cumal e caib qaholab hun ahpu vbi hun xbalanque vbi vcab xavi e cabauil rumal itzel xquilo ri nimarizai rib xrah vban chuvach vqux cah xqha curi qaholab mavi vtz ta chuxoc mavi chiqaze vinac varal chuvach vleu quehe cut chicatih v vbaxic chuvi recha chica v vbah vi chiri chicacoh vi viab ta quizoc v quinomal v xit v puvac v cual v yamanic ri cucacabeh que he cut chubano ronohel vinac maui are chivinaquir vi q'aq'al ri xa puvac ta chuxoc xeqha ri qaholab huhun chi vb quitelen qui cabichal are curi vvcub caquix e caib v qahol are nabe al ri zipacna vcab al chicut ri cabracan chimalmat cut vbi qui chuch rixoquil ri vvcub caquix are curi zipacna are chirechaah ri nimac huiub ri chicac hun ahpu pe cul ya xcanul macamob huliznab chuchaxic vbi huiub xqolic ta chi zaquiric xa hun aq'ab chi vi naquiric rumal ri zipacna are ri chicuri cabracan chizilab huiub rumal chi ne bouic chuti huiub nima huyub rumal xaui quehe nimarizabal quib xquibano vqahol vvcub caquix ixva in quih xqha vucub caquix inva in banol vleu xqha ri zipacna in chicut quiyou cah chinvlih ronohel vleu xqhari cabracan xavi vqahol vvcub caquix xaui chiri xquicam vi quinimal chirih qui cahau are cut itzel xquil vi qaholab maha chibantahoc canabe chuch canabe cahau quehe cut xnohix vi qui camic qui zachic cumal qaholab vae cute v vbaxic vvcub caquix cumal caib qaholab xchi cabyh qui chacatahic chi qui huhunal ri nimarizai rib are ri vvcub caquix hun nima che ri tapal are cu recha ri vvcub caquix are chulo ri v vach tapal chacan chui che hutaquih xilo macut rechabal cumal ri hun ahpu xbalan que quicacalen chicut chuxe che ri vvcub ca quix e matzamoh vlo ri caib qaholab pa xac che ta xopon cut caibqaholab vcub caquix tacal chui recha ri tapal cate cut ta xubaxic cumal ri hun hunahpu ta cal vbac vub chu ca eate churacuh vchi ta xpe chui che tacal chvach vleu chimalmat cut ri hun hunahpu anim xbec quitzih vi xbe,10 11 12
6,vqhapa cate cut ta xcupix vla veab rihun hu nahpu rumal ri vvcub ca quix huzuc xtzac vloc xmeho vloc tzam vteleb ta xutzocopih chi cut hunhunahpu ri vvcub caquix xavi vtz xquibano ma nabe quicha catahic tah rumal vvcub caquix vcaam chi cut veab ri hunhunahpu rumal ri vucub caquix ta xbe chi rochoch xa chi cu vlotem vq'aq'ate xoponic naqui pa mi xcamou chila xqha cu ri chimalmat ri xoquil vvcub caquix na qui pa ri ri e caib qaxtoq mixiquivubah mi xzilibatah nu q'aq'ate rumal xacachuiu ahe ve cacoxou chic minabe mixnucam vloc chuvi q'aq' cut chixeque vi chitzaiaba chuvi q'aq' ta cul qui cama chic quitzih chi e qaxtoq xqha ri vvcub caquix ta xu xequeba veab ri hunahpu qui naohinic chic ri huhun ahpu xbalanq ta xquibih cut chirech hun mama quitzih zac chic rizmal vi chi mama hun cu atit quitzih quemel atit chic xa quelucuquila chic chirihitac vinac zaqui nim ac vbi mama zaqui nima tziz cut vbi atit xeqha curi qaholab chique ri atit mama quixcachbilahtah chibe ta cama caeab ruq vucub caquix xa cohtere chivih quiri ca mam ri cachbilan caminac qui chuch qui cahau quehe cut que tere co tila vi chiquih tala quecazipah vi ru mal xa elezan vchicopil eiah cacabano quixqha quehe curi oh acalab chirilo ri vvcub caquix xavi oh qoh yavic inaoh xeqha ri e caib qaholab vtz bala xeqhacut cate cut ta xebec tzamal cubi ri vvcub caquix chuvach v calibal ta xeicouic ri atit mama queetzeyah curi ecaib qaholab chiquih ta xeicou chuxe rochoch ahau cu racuh cu vchi ri vvcub caquix rumal re ta xril cut v vcub caquix ri mama atit cachbilan quib apa quixpe vi camam xqha curi ahau xa oh tzucubei quib lal ahau xeqha cut naquipa itzucubal maivalcval ri ivachbilan mahabi lal ahau eca ca mam ri xere nare catocobah qui vach ri yaaxel hupir cha cap cacaya chiquech lal ahau xeqha cut ri atit mama cutzin curi ahau rumal vcoxom re xa cunimac vachih chic qu ca qhavic intabacanih chivech chitocobah ta nuvach na quipa quichibano naquion chiqui chicunah xqha cut ahau xa vchicopil eiah chique lezah xacu vbac vvach chicacunah xabac chicavico lal ahau xeqha cut vtzbala chicunah ta ba ve quitzih cacoxouic hutaquih maui choquitahic mahabi nu varam rumal ruq vbac nu vach xa xiquivbah e caib qaxtoq ta xti caric maui quinechahic rumal quehe ta cut chitocobah vi nu vach xa cachuiub vehe chic rive vtzbala lal ahau chicop ba cacaxuuic xachoc v quexel chel ri ela maba vtzlo chel ri ve rumal xere in ahau vi,12
7,nu caubal ri ve ruq vbac nu vach xchicacoh chic nacut v quexel hocombac xchoc chic are cut hocombac pri xa zaqui ixim vtzbala chivelezah chi too vloc xqha cut ta xel curi re vvcub caquix xa zaqui ixim vquexel re xoquic xa chi cu zac huluhuh chi vla ixim pu chi huzucu xcah v vach maui ahau chic xvachinic xquiz elic ri re cuval raxcauacoh puchi ta xcunax chi cut vbac vvach vvcub caquix ta xcholic vbac vvach xquiz elic ri puvac mana cax tah xunao xaui xere camucunic ta xquiz cu elic ri vnimarizabal rib xaui quinaoh ri hunahpu xbalanque ta xcam cut ri vvcub caquix ta xucam cut veab ri hun ahpu xcam naipuch chimalmat ri xoquil vvcub caquix quehe cut vzachic vquinomal vvcub caquix ri xa ahqun xcamouic ri cuval yamanic xu punabeh varal chuvach vleu hu pah chic xziquinic ta xcahapanoc ri che ocu mi xutzinic qui vtz mi xcabano chire mix ca mic atalabe chita quen chu bano chuchacuh ta chuxoc v nabe la xucoh vla rib cuq chicaxol puch la oh omuch chi qaholab xeqha cut que quicot chic qo ri vbanic ca qui oxih checevic oxih puch chicu cah la cabobal naual atit naual mama xbanouic ta xquicam cut quieab xtiquitax vcoc vtzchic xuxic xa rumal v camic vvcub caquix xcah quehe xquibano itzel xquilo nimarizabal ib cate cut xe be chic e caib qaholab xa vtzih ri vqux cah ta xquibano vae chi cute vbanoh chic zipacna v nabe qahol vvcubcaquix in banol huyub caqha ri zipacna are curi zipacna catinic chuchi ha ta xe icouic omuch qaholab e hurui che racan qui cabal omuch chubinic ta xquicat cut hun nimache v vapalil qui cabal cate cut xbe ri zipacna xopon cu chila cuq ri omuch qaholab na qui pa quibano ixqaholab xa che maui cacayaco chiteleba xchinteleh apa copon vi na qui pa vchac chi iqux xa v vapalil ca cabal vtz bala chacut ta xuhuruh cut xuteleba cu acanoc chuchi qui cabal omuch qaholab xata vi catqohe cuq at qahol qo pa achuch acahau mahabi xqha cut cacachaquimah tana bala chuvec chuvabaxic chic hun cache racan ca cabal vtz xqha chicut ca tecut xcam quinaoh riomuch qaholab areri ala hupacha chicaban chire chicacamizah tah rumal maui vtz ri cubano xa vtuquel mi xuyac ri che cacoto hun nima hul chiri ta cut chicatzac vi cahoc pahul hacama caha vleu pa hul cohqhata chire chi are ta cut pachal p cahoc pa hul ta catarih cahoc ri nima che chiritacut chicam vi pa hul xeqha cut omuch qaholab ta xquicot cut hun,12 13
8,nima hul naht xcahic ta xquitac cut ri zipacna oh canih chavech chibeta a coto chic vleuh maui cacaxico xucha xic vtzbala xqhacut catecut xcah pa hul caziquin vloc ta cototahoc ri vleu nahta chicahic avmal xuqhaxic ve xqha cut ta xutiquiba vcotic hul xacu vhul xucoto vcolbal rib xretamah ri v camizaxic ta xucot cut hun vi chihul chu tzalanem vca hul xucoto xcolotah vi cahanican pala xuqhax cu cah oc cumal omuch qaholab quinanucoto ve xquixnuziquih acanoc ta chutzinoc v cototahic xcha vloc zipacna chiri pahul macu are cucot vxehul ri vmoquiquil xa vhul cucoto colbal rib cate cut ta xziquin vloc ri zipacna colon chuca chiri pa hul ta xziquin vloc quixpetoc chul icama vleu rachac hul mi xcoto tahic qui tzih nah mi xcah v vmal mapa qui ta nu ziquibal lo are curi iziquibal xa vbi caxohanic queheri hun elebal caib elebal ixqovi canutao xqha vla ri zipacna pa vhul chiri cut matzal chivi vloc caziquiiah chivla pahul are cut cahuruxvloc ri qui nima che ru mal qaholab cate puch xquitarih cahoc ri che pahul ma qo ma qhauic chicata na ta churacuh vchi ta camoc xe cha chi quibil quib xaque hazlahic xa pu chi matzalah quivach chi qui huhunal ta xquitarih cahoc ri che are cu xqha cut ta xuracuh v chi xahupah chic xziquinic ta xcah apanoc ri che oca mi xutzinic qui vtz mi xcabano chire mi xcamic atalabe chita quen chubano chuchacuh ta chuxoc vnabe la xucoh vla rib cuq chicaxol puch laoh omuch qaholab xeqha cut que quicot chic qo ri vbanic caqui oxih q eecouic oxih puch chicucah lacabebal cacabal laoh omuch chi qaholab xe qha chuuec cut chiquilo ca bih puch chiquilo mapa chipe zanic pu vleu ta chuin oc ta queyoc cate cut cul chica qux ta cucah ri ca qui xeqha cut cuta cu vloc ri zipacna chiri pa hul ta xquibih qaholab ri ca chucabi puch ta xtubuquih zanic quebinouic quebuchuvic ta xeculun xeche humah qui cayeloon iz qui cayeloon puch rixcac zipacna ta xquil curi qaholab mi pa xutzin ri qaxtoq chivila na zanic mixeculun vloc mixetubuquih vloc humah iz qui caien qo rixcac ri chila na mi xcabano ca xeqha chiquibil quib are curi zipacna xaui xa pu cuqux vloc rixcac chire cuya vla chiquech ri zanic que he curi xcamic xquinao omuch qaholab cate cut xticar qui qui chiroxih ta xecabar puch conohel qaholab ecu cabarinac chic conohel omuch qaholab mahabi caquina chic cate puch xulix ri cabal pa quivi rumal ri zipacna xequiz chayatahic conohel mahabi chic hun caib xcolotah chiquech ri,13
9,omuch chiqaholab xecamizaxic ru mal zipacna vqahol ri vvcub caquix quehe cut quicamic omuch qaholab ri xqha chicut are ri xeoc chichumilal ri motz vbi cumal ve cut xa zacbal tzih lo are chicut chicabih vchacatahic chic zipacna rumal ri e caib qaholab hun ahpu xbalanque are chic vchacatahic v camic zipacna ta xchac chic cumal ri e caib qaholab hun ahpu xbalanque are chic v yoe qui qux caholab ri omuch chi qaholab xecamic rumal zipacna xa car xa tap chutzucuh chi tac a xere chirechaah hu ta quih pa quih chivacatic ta chutzucuh recha chacab cut chirecah huyub cate cut vhalvachixic hun nima tap cumal hun ahpu xbalanque are cut xquicoh ri v vach ec ri mac ec qo patac quechelah are v xul tap xuxic pa hac chicut v coc eab xquicoho zelabah curi v va rachac tap rihouohic cate cut ta xquicoh vcoc chuxe pec chuxe nima huyub meauan vbi huyub xchacatah vi cate cut ta xeperi qaholab xquicu ri zipacna chiya apa catbe vi at qahol xchax curi zipacna mahabi quin be vi xa vecha canutzucuh ix qaholab qha curi zipacna naquipa au echa xa car xa tap xma qo chivi canu rico cabihir chincanah rechaxic maui canuchih chic vaih xqha zipacna chiquech hun ahpu xbalanque huna relatap qo vla xe zivan quitzih chi ni ma tap caquihtala cha vechaah lo xa cohvtio mi xrah cachapo cacaxibih quib rumal machibeon cachapa xe qhari hun ahpu xbalanque qui tocaba nu vach quibe ta ivaba ixqaholab xqha ri zipacna maba chicah xata catbec ma zachibal tah xarecan ha catbec at cu taq'al apon oc xenima huyub houol vla chuxe zivan xa catel apanoc xe qha hun ahpu xbalanque laquiba tocob nuvach ma ba xuculu ixqaholab quix be na cu nu vaba qo qui xo vi ri qiquin chibetah iv vbah vetaam qo vi xqha chicut zipacna xelahic xoc na chiquivach qaholab lama quicu xchachaplo taxaquehe xcohtzalih avvmal ma xa maui xcatiho xa huzuc chitionic ri oh hupulic coh oc vbic cate cut cuxibih rib ri oh pacalic cohoc vbic xa cu zcaquin chic maui chicarico cate cu vtz at pacalic catoc vbic xuchaxcut vtz bala xqha curi zipacna ta xbecut achbilan chicut ri zipacna xbec xeopon chuxe zivan zalam cula ri tap cacvacavoh vla rih xe zivan ri cute qui cumatzih vtz bala chi quicot curi zipacna carahtah xcoc ta pu chi rumal quitzih cutzin chivaih xrah cutih ri xaxrah hupunic xrah oquic pacal curi tap xa canic cate cut xel chu vloc maui xarico xuqhax cut mahabi xa pacalic cacanic xanabe zcaquin chic maui mi xnurico cate vtz,13 14
